Filename, RDD, TF, Size, Dynamic-runtime, Dynamic-tardiness, Approx-e=0.1-runtime, Approx-e=0.1-tardiness, Approx-e=0.2-runtime, Approx-e=0.2-tardiness, Approx-e=0.3-runtime, Approx-e=0.3-tardiness, Greedy-runtime, Greedy-tardiness, BestFirst-runtime, BestFirst-tardiness
random_RDD=0.2_TF=0.2_#5.dat, 0.2, 0.2, 5, 0, 44, 0, 44, 0, 44, 0, 44, 0, 44, 0, 44
random_RDD=0.2_TF=0.2_#10.dat, 0.2, 0.2, 10, 0, 74, 0, 74, 0, 74, 0, 74, 0, 74, 4480, 74
random_RDD=0.2_TF=0.2_#15.dat, 0.2, 0.2, 15, 0, 60, 0, 60, 0, 60, 0, 60, 0, 60, NaN, NaN
random_RDD=0.2_TF=0.2_#20.dat, 0.2, 0.2, 20, 0, 236, 0, 236, 0, 236, 0, 236, 0, 528, NaN, NaN
random_RDD=0.2_TF=0.2_#25.dat, 0.2, 0.2, 25, 0, 322, 0, 322, 0, 322, 0, 322, 0, 322, NaN, NaN
random_RDD=0.2_TF=0.2_#30.dat, 0.2, 0.2, 30, 0, 339, 0, 339, 0, 339, 0, 339, 0, 504, NaN, NaN
random_RDD=0.2_TF=0.2_#35.dat, 0.2, 0.2, 35, 53, 434, 53, 434, 53, 434, 68, 434, 0, 636, NaN, NaN
random_RDD=0.2_TF=0.2_#40.dat, 0.2, 0.2, 40, 16, 433, 16, 433, 16, 433, 16, 433, 0, 542, NaN, NaN
random_RDD=0.2_TF=0.2_#45.dat, 0.2, 0.2, 45, 47, 653, 63, 653, 63, 653, 63, 653, 0, 877, NaN, NaN
random_RDD=0.2_TF=0.2_#50.dat, 0.2, 0.2, 50, 63, 599, 91, 599, 81, 599, 91, 599, 0, 846, NaN, NaN
random_RDD=0.2_TF=0.2_#55.dat, 0.2, 0.2, 55, 487, 625, 769, 625, 726, 625, 710, 625, 0, 1040, NaN, NaN
random_RDD=0.2_TF=0.2_#60.dat, 0.2, 0.2, 60, 488, 865, 684, 865, 653, 865, 684, 865, 0, 1079, NaN, NaN
random_RDD=0.2_TF=0.2_#65.dat, 0.2, 0.2, 65, 2707, 1068, 4576, 1068, 4586, 1068, 5147, 1068, 0, 1424, NaN, NaN
random_RDD=0.2_TF=0.2_#70.dat, 0.2, 0.2, 70, 1776, 1086, 3409, 1086, 3334, 1086, 3111, 1086, 0, 1329, NaN, NaN
random_RDD=0.2_TF=0.2_#75.dat, 0.2, 0.2, 75, 1509, 1252, 3011, 1252, 2969, 1252, 2979, 1252, 0, 2073, NaN, NaN
random_RDD=0.2_TF=0.2_#80.dat, 0.2, 0.2, 80, 4536, 1770, 6767, 1770, 6889, 1770, 6723, 1770, 0, 2995, NaN, NaN
random_RDD=0.2_TF=0.4_#5.dat, 0.2, 0.4, 5, 0, 198, 0, 198, 0, 198, 0, 198, 0, 203, 0, 198
random_RDD=0.2_TF=0.4_#10.dat, 0.2, 0.4, 10, 0, 216, 0, 216, 0, 216, 0, 216, 0, 484, 5739, 216
random_RDD=0.2_TF=0.4_#15.dat, 0.2, 0.4, 15, 0, 654, 0, 654, 0, 654, 0, 654, 0, 841, NaN, NaN
random_RDD=0.2_TF=0.4_#20.dat, 0.2, 0.4, 20, 0, 1066, 0, 1067, 0, 1067, 0, 1067, 0, 2294, NaN, NaN
random_RDD=0.2_TF=0.4_#25.dat, 0.2, 0.4, 25, 16, 1148, 16, 1148, 16, 1148, 16, 1148, 0, 1808, NaN, NaN
random_RDD=0.2_TF=0.4_#30.dat, 0.2, 0.4, 30, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 2536, NaN, NaN
random_RDD=0.2_TF=0.4_#35.dat, 0.2, 0.4, 35, 15, 2698, 15, 2698, 15, 2698, 15, 2701, 0, 4093, NaN, NaN
random_RDD=0.2_TF=0.4_#40.dat, 0.2, 0.4, 40, 29, 3475, 39, 3475, 39, 3475, 39, 3475, 0, 5818, NaN, NaN
random_RDD=0.2_TF=0.4_#45.dat, 0.2, 0.4, 45, 47, 3860, 78, 3860, 62, 3860, 62, 3863, 0, 5629, NaN, NaN
random_RDD=0.2_TF=0.4_#50.dat, 0.2, 0.4, 50, 170, 4986, 264, 4986, 249, 4986, 264, 4986, 0, 7145, NaN, NaN
random_RDD=0.2_TF=0.4_#55.dat, 0.2, 0.4, 55, 160, 6295, 238, 6295, 254, 6295, 238, 6298, 16, 10467, NaN, NaN
random_RDD=0.2_TF=0.4_#60.dat, 0.2, 0.4, 60, 781, 7098, 1205, 7098, 1158, 7098, 1068, 7098, 0, 10792, NaN, NaN
