Filename, RDD, TF, Size, Dynamic-runtime, Dynamic-tardiness, Approx-e=0.1-runtime, Approx-e=0.1-tardiness, Approx-e=0.2-runtime, Approx-e=0.2-tardiness, Approx-e=0.3-runtime, Approx-e=0.3-tardiness, Greedy-runtime, Greedy-tardiness, BestFirst-runtime, BestFirst-tardiness
random_RDD=0.4_TF=0.8_#60.dat, 0.4, 0.8, 60, 13, 28027, 21, 28027, 16, 28027, 23, 28027, 0, 41957, NaN, NaN
random_RDD=0.4_TF=0.8_#65.dat, 0.4, 0.8, 65, 41, 43990, 51, 43990, NaN, NaN, 55, 43998, 0, 69995, NaN, NaN
random_RDD=0.4_TF=0.8_#70.dat, 0.4, 0.8, 70, 401, 41273, 654, 41273, NaN, NaN, 599, 41276, 0, 81146, NaN, NaN
random_RDD=0.4_TF=1.0_#5.dat, 0.4, 1.0, 5, 0, 574, 0, 574, 1, 574, 1, 574, 0, 574, 1, 574
random_RDD=0.4_TF=1.0_#10.dat, 0.4, 1.0, 10, 0, 1992, 0, 1992, NaN, NaN, NaN, NaN, 0, 2789, 4774, 1992
random_RDD=0.4_TF=1.0_#15.dat, 0.4, 1.0, 15, 0, 5117, 0, 5117, 0, 5117, 0, 5117, 0, 7814, NaN, NaN
random_RDD=0.4_TF=1.0_#20.dat, 0.4, 1.0, 20, 0, 7376, 0, 7376, 0, 7376, 0, 7376, 0, 10916, NaN, NaN
random_RDD=0.4_TF=1.0_#25.dat, 0.4, 1.0, 25, 0, 10888, 0, 10888, 0, 10888, 1, 10888, 0, 15071, NaN, NaN
random_RDD=0.4_TF=1.0_#30.dat, 0.4, 1.0, 30, 0, 16232, 0, 16232, 0, 16232, 0, 16232, 0, 23186, NaN, NaN
random_RDD=0.4_TF=1.0_#35.dat, 0.4, 1.0, 35, 0, 31855, 0, 31855, 0, 31855, 0, 31855, 0, 39867, NaN, NaN
random_RDD=0.4_TF=1.0_#40.dat, 0.4, 1.0, 40, 0, 31630, 1, 31630, 1, 31630, 1, 31630, 0, 43927, NaN, NaN
random_RDD=0.4_TF=1.0_#45.dat, 0.4, 1.0, 45, 0, 32751, 0, 32751, 0, 32751, 0, 32751, 0, 49836, NaN, NaN
random_RDD=0.4_TF=1.0_#50.dat, 0.4, 1.0, 50, 0, 38905, 1, 38905, 1, 38906, 1, 38906, 0, 57871, NaN, NaN
random_RDD=0.4_TF=1.0_#55.dat, 0.4, 1.0, 55, 1, 58311, 1, 58311, 1, 58311, 1, 58311, 0, 86395, NaN, NaN
random_RDD=0.4_TF=1.0_#60.dat, 0.4, 1.0, 60, 1, 73786, 1, 73786, 1, 73786, 1, 73786, 1, 105988, NaN, NaN
random_RDD=0.4_TF=1.0_#65.dat, 0.4, 1.0, 65, 1, 76819, 1, 84058, NaN, NaN, 2, 76820, 0, 113141, NaN, NaN
random_RDD=0.4_TF=1.0_#70.dat, 0.4, 1.0, 70, 0, 91448, 1, 91448, NaN, NaN, 1, 91448, 0, 126460, NaN, NaN
random_RDD=0.6_TF=0.2_#5.dat, 0.6, 0.2, 5, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 2
random_RDD=0.6_TF=0.2_#10.dat, 0.6, 0.2, 10, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 2054, 3
random_RDD=0.6_TF=0.2_#15.dat, 0.6, 0.2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=0.6_TF=0.2_#20.dat, 0.6, 0.2, 20, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=0.6_TF=0.2_#25.dat, 0.6, 0.2, 25, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=0.6_TF=0.2_#30.dat, 0.6, 0.2, 30, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=0.6_TF=0.2_#35.dat, 0.6, 0.2, 35, 30, 0, 1, 0, 0, 0, 1, 0, 0, 0, NaN, NaN
random_RDD=0.6_TF=0.2_#40.dat, 0.6, 0.2, 40, 16, 0, 0, 0, 0, 0, 21, 0, 0, 0, NaN, NaN
random_RDD=0.6_TF=0.2_#45.dat, 0.6, 0.2, 45, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=0.6_TF=0.2_#50.dat, 0.6, 0.2, 50, 217, 0, 0, 0, 309, 0, 296, 0, 0, 0, NaN, NaN
random_RDD=0.6_TF=0.2_#55.dat, 0.6, 0.2, 55, 846, 0, NaN, NaN, 2113, 0, 0, 0, 0, 3606, NaN, NaN
random_RDD=0.6_TF=0.2_#60.dat, 0.6, 0.2, 60, 458, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=0.6_TF=0.2_#65.dat, 0.6, 0.2, 65, 811, 0, 0, 0, NaN, NaN, 0, 0, 1, 0, NaN, NaN
random_RDD=0.6_TF=0.2_#70.dat, 0.6, 0.2, 70, 884, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=0.6_TF=0.4_#5.dat, 0.6, 0.4, 5, 0, 8, 0, 8, 0, 8, 0, 8, 0, 8, 0, 8
random_RDD=0.6_TF=0.4_#10.dat, 0.6, 0.4, 10, 0, 126, 0, 126, 0, 126, 0, 128, 0, 201, 2364, 126
random_RDD=0.6_TF=0.4_#15.dat, 0.6, 0.4, 15, 0, 224, 1, 528, 1, 528, 1, 528, 0, 552, NaN, NaN
random_RDD=0.6_TF=0.4_#20.dat, 0.6, 0.4, 20, 0, 244, 0, 244, 0, 244, 0, 244, 0, 244, NaN, NaN
random_RDD=0.6_TF=0.4_#25.dat, 0.6, 0.4, 25, 1, 520, 2, 520, 2, 520, 2, 520, 0, 813, NaN, NaN
random_RDD=0.6_TF=0.4_#30.dat, 0.6, 0.4, 30, 2, 1013, 2, 1013, 2, 1013, 2, 1013, 0, 1607, NaN, NaN
random_RDD=0.6_TF=0.4_#35.dat, 0.6, 0.4, 35, 17, 1404, 21, 1404, 20, 1405, 22, 1405, 0, 2925, NaN, NaN
random_RDD=0.6_TF=0.4_#40.dat, 0.6, 0.4, 40, 41, 549, 45, 549, 47, 549, 47, 549, 0, 709, NaN, NaN
random_RDD=0.6_TF=0.4_#45.dat, 0.6, 0.4, 45, 59, 668, 80, 668, 79, 668, 83, 668, 0, 1165, NaN, NaN
random_RDD=0.6_TF=0.4_#50.dat, 0.6, 0.4, 50, 135, 927, 310, 927, 293, 927, 243, 927, 0, 1753, NaN, NaN
random_RDD=0.6_TF=0.4_#55.dat, 0.6, 0.4, 55, 395, 2027, 511, 2027, 517, 2027, 519, 2027, 0, 3268, NaN, NaN
random_RDD=0.6_TF=0.4_#60.dat, 0.6, 0.4, 60, 1803, 11017, 4701, 11018, 4778, 11018, 4760, 11018, 0, 19973, NaN, NaN
random_RDD=0.6_TF=0.4_#65.dat, 0.6, 0.4, 65, 532, 3109, 949, 3109, 886, 3109, 901, 3109, 1, 3937, NaN, NaN
random_RDD=0.6_TF=0.4_#70.dat, 0.6, 0.4, 70, 2006, 2111, 3436, 2124, NaN, NaN, 3189, 2124, 1, 3064, NaN, NaN
random_RDD=0.6_TF=0.6_#5.dat, 0.6, 0.6, 5, 0, 225, 0, 225, 0, 225, 0, 225, 0, 272, 0, 225
random_RDD=0.6_TF=0.6_#10.dat, 0.6, 0.6, 10, 0, 506, 0, 506, 0, 506, NaN, NaN, 0, 819, 4559, 506
random_RDD=0.6_TF=0.6_#15.dat, 0.6, 0.6, 15, 0, 1074, 0, 1074, 0, 1074, 0, 1074, 0, 1256, NaN, NaN
random_RDD=0.6_TF=0.6_#20.dat, 0.6, 0.6, 20, 0, 1372, 0, 1372, 0, 1372, 1, 1374, 0, 2157, NaN, NaN
