Filename, RDD, TF, Size, Dynamic-runtime, Dynamic-tardiness, Approx-e=0.1-runtime, Approx-e=0.1-tardiness, Approx-e=0.2-runtime, Approx-e=0.2-tardiness, Approx-e=0.3-runtime, Approx-e=0.3-tardiness, Greedy-runtime, Greedy-tardiness, BestFirst-runtime, BestFirst-tardiness
random_RDD=1.0_TF=0.2_#35.dat, 1.0, 0.2, 35, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.2_#40.dat, 1.0, 0.2, 40, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.2_#45.dat, 1.0, 0.2, 45, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.2_#50.dat, 1.0, 0.2, 50, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.2_#55.dat, 1.0, 0.2, 55, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.2_#60.dat, 1.0, 0.2, 60, 632, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.2_#65.dat, 1.0, 0.2, 65, 468, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.2_#70.dat, 1.0, 0.2, 70, 1932, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.2_#75.dat, 1.0, 0.2, 75, 3272, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.2_#80.dat, 1.0, 0.2, 80, 3025, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.4_#5.dat, 1.0, 0.4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
random_RDD=1.0_TF=0.4_#10.dat, 1.0, 0.4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 0
random_RDD=1.0_TF=0.4_#15.dat, 1.0, 0.4, 15, 0, 270, 0, 270, 0, 270, 0, 270, 0, 306, NaN, NaN
random_RDD=1.0_TF=0.4_#20.dat, 1.0, 0.4, 20, 0, 264, 0, 264, 0, 264, 0, 264, 0, 266, NaN, NaN
random_RDD=1.0_TF=0.4_#25.dat, 1.0, 0.4, 25, 0, 357, 16, 357, 16, 357, 16, 357, 0, 511, NaN, NaN
random_RDD=1.0_TF=0.4_#30.dat, 1.0, 0.4, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.4_#35.dat, 1.0, 0.4, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.4_#40.dat, 1.0, 0.4, 40, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.4_#45.dat, 1.0, 0.4, 45, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.4_#50.dat, 1.0, 0.4, 50, 597, 2675, 971, 2675, 987, 2675, 971, 2675, 0, 4779, NaN, NaN
random_RDD=1.0_TF=0.4_#55.dat, 1.0, 0.4, 55, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.4_#60.dat, 1.0, 0.4, 60, 132, 0, 0, 0, 0, 0, 0, 0, 15, 0, NaN, NaN
random_RDD=1.0_TF=0.4_#65.dat, 1.0, 0.4, 65, 1013, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.4_#70.dat, 1.0, 0.4, 70, 1342, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN
random_RDD=1.0_TF=0.4_#75.dat, 1.0, 0.4, 75, 1163, 42, 1732, 42, 1763, 42, 1732, 42, 0, 42, NaN, NaN
random_RDD=1.0_TF=0.4_#80.dat, 1.0, 0.4, 80, 10117, 58, 27883, 58, 30580, 58, 32391, 58, 0, 58, NaN, NaN
random_RDD=1.0_TF=0.6_#5.dat, 1.0, 0.6, 5, 0, 157, 0, 157, 0, 157, 0, 157, 0, 178, 0, 157
random_RDD=1.0_TF=0.6_#10.dat, 1.0, 0.6, 10, 0, 393, 0, 393, 0, 393, 0, 393, 0, 609, 1640, 393
random_RDD=1.0_TF=0.6_#15.dat, 1.0, 0.6, 15, 0, 1280, 0, 1280, 0, 1280, 0, 1280, 0, 2059, NaN, NaN
random_RDD=1.0_TF=0.6_#20.dat, 1.0, 0.6, 20, 0, 3935, 0, 3935, 0, 3935, 0, 3935, 0, 5494, NaN, NaN
random_RDD=1.0_TF=0.6_#25.dat, 1.0, 0.6, 25, 0, 3094, 0, 3095, 0, 3095, 0, 3095, 0, 4762, NaN, NaN
random_RDD=1.0_TF=0.6_#30.dat, 1.0, 0.6, 30, 0, 1573, 0, 1573, 0, 1573, 0, 1573, 0, 2293, NaN, NaN
random_RDD=1.0_TF=0.6_#35.dat, 1.0, 0.6, 35, 16, 4177, 16, 4177, 16, 4177, 16, 4177, 0, 6930, NaN, NaN
random_RDD=1.0_TF=0.6_#40.dat, 1.0, 0.6, 40, 0, 8589, 15, 8589, 15, 8589, 15, 8589, 0, 15412, NaN, NaN
random_RDD=1.0_TF=0.6_#45.dat, 1.0, 0.6, 45, 0, 5660, 16, 5660, 16, 5660, 16, 5660, 0, 8327, NaN, NaN
random_RDD=1.0_TF=0.6_#50.dat, 1.0, 0.6, 50, 31, 7689, 59, 7689, 59, 7689, 59, 7689, 0, 12213, NaN, NaN
random_RDD=1.0_TF=0.6_#55.dat, 1.0, 0.6, 55, 169, 14479, 232, 14479, 216, 14479, 244, 14479, 0, 24773, NaN, NaN
random_RDD=1.0_TF=0.6_#60.dat, 1.0, 0.6, 60, 57, 8370, 73, 8370, 73, 8370, 73, 8370, 0, 13634, NaN, NaN
random_RDD=1.0_TF=0.6_#65.dat, 1.0, 0.6, 65, 171, 20477, 223, 20477, 218, 20477, 202, 20477, 0, 33451, NaN, NaN
random_RDD=1.0_TF=0.6_#70.dat, 1.0, 0.6, 70, 343, 8579, 436, 8579, 436, 8579, 452, 8579, 0, 13742, NaN, NaN
random_RDD=1.0_TF=0.6_#75.dat, 1.0, 0.6, 75, 465, 16503, 566, 16503, 551, 16503, 566, 16503, 0, 25306, NaN, NaN
random_RDD=1.0_TF=0.6_#80.dat, 1.0, 0.6, 80, 4242, 15998, 6261, 15998, 6547, 15999, 6316, 16001, 0, 27795, NaN, NaN
random_RDD=1.0_TF=0.8_#5.dat, 1.0, 0.8, 5, 0, 667, 0, 667, 0, 667, 0, 667, 0, 759, 0, 667
random_RDD=1.0_TF=0.8_#10.dat, 1.0, 0.8, 10, 0, 924, 0, 924, 0, 924, 0, 924, 0, 1290, 4640, 924
random_RDD=1.0_TF=0.8_#15.dat, 1.0, 0.8, 15, 0, 3116, 0, 3116, 0, 3116, 0, 3116, 0, 4881, NaN, NaN
random_RDD=1.0_TF=0.8_#20.dat, 1.0, 0.8, 20, 0, 3939, 0, 3939, 0, 3939, 0, 3939, 0, 7144, NaN, NaN
random_RDD=1.0_TF=0.8_#25.dat, 1.0, 0.8, 25, 0, 11198, 0, 11199, 0, 11199, 0, 11199, 0, 14675, NaN, NaN
random_RDD=1.0_TF=0.8_#30.dat, 1.0, 0.8, 30, 0, 8906, 0, 8906, 0, 8906, 0, 8906, 0, 13133, NaN, NaN
random_RDD=1.0_TF=0.8_#35.dat, 1.0, 0.8, 35, 0, 11371, 0, 11371, 0, 11371, 0, 11371, 0, 21942, NaN, NaN
random_RDD=1.0_TF=0.8_#40.dat, 1.0, 0.8, 40, 0, 18120, 0, 18120, 0, 18125, 0, 18125, 0, 28028, NaN, NaN
random_RDD=1.0_TF=0.8_#45.dat, 1.0, 0.8, 45, 13, 19668, 13, 19668, 23, 19668, 23, 19668, 0, 30463, NaN, NaN
random_RDD=1.0_TF=0.8_#50.dat, 1.0, 0.8, 50, 0, 35175, 0, 35175, 0, 35175, 0, 35175, 0, 49780, NaN, NaN
random_RDD=1.0_TF=0.8_#55.dat, 1.0, 0.8, 55, 16, 34118, 16, 34118, 16, 34118, 16, 34119, 0, 49154, NaN, NaN
random_RDD=1.0_TF=0.8_#60.dat, 1.0, 0.8, 60, 0, 42294, 0, 42294, 15, 42294, 15, 42294, 0, 58122, NaN, NaN
random_RDD=1.0_TF=0.8_#65.dat, 1.0, 0.8, 65, 0, 40843, 0, 40843, 0, 40845, 0, 40845, 0, 62661, NaN, NaN
random_RDD=1.0_TF=0.8_#70.dat, 1.0, 0.8, 70, 122, 42783, 138, 42784, 138, 42784, 138, 42784, 0, 63003, NaN, NaN
random_RDD=1.0_TF=0.8_#75.dat, 1.0, 0.8, 75, 77, 51616, 93, 51616, 93, 51621, 93, 51621, 0, 76233, NaN, NaN
random_RDD=1.0_TF=0.8_#80.dat, 1.0, 0.8, 80, 78, 67561, 148, 67561, 148, 67561, 132, 67569, 0, 108468, NaN, NaN
random_RDD=1.0_TF=1.0_#5.dat, 1.0, 1.0, 5, 0, 1503, 0, 1503, 0, 1503, 0, 1503, 0, 1702, 0, 1503
random_RDD=1.0_TF=1.0_#10.dat, 1.0, 1.0, 10, 0, 2803, 0, 2803, 0, 2803, 0, 2803, 0, 3566, 6893, 2803
random_RDD=1.0_TF=1.0_#15.dat, 1.0, 1.0, 15, 0, 3190, 0, 3190, 0, 3190, 0, 3190, 0, 4710, NaN, NaN
random_RDD=1.0_TF=1.0_#20.dat, 1.0, 1.0, 20, 0, 7958, 0, 7958, 0, 7958, 0, 7958, 0, 11322, NaN, NaN
random_RDD=1.0_TF=1.0_#25.dat, 1.0, 1.0, 25, 0, 10049, 0, 10049, 0, 10049, 0, 10049, 0, 13980, NaN, NaN
random_RDD=1.0_TF=1.0_#30.dat, 1.0, 1.0, 30, 0, 17676, 0, 17676, 0, 17678, 0, 17678, 0, 23632, NaN, NaN
random_RDD=1.0_TF=1.0_#35.dat, 1.0, 1.0, 35, 0, 27961, 0, 27964, 0, 27964, 0, 27976, 0, 40383, NaN, NaN
random_RDD=1.0_TF=1.0_#40.dat, 1.0, 1.0, 40, 0, 32493, 0, 32493, 0, 32496, 0, 32499, 0, 47317, NaN, NaN
random_RDD=1.0_TF=1.0_#45.dat, 1.0, 1.0, 45, 0, 35999, 16, 35999, 16, 35999, 16, 35999, 0, 48204, NaN, NaN
random_RDD=1.0_TF=1.0_#50.dat, 1.0, 1.0, 50, 0, 43915, 0, 43915, 0, 43915, 0, 43915, 0, 59725, NaN, NaN
random_RDD=1.0_TF=1.0_#55.dat, 1.0, 1.0, 55, 0, 62097, 0, 62098, 0, 62098, 0, 62098, 0, 82383, NaN, NaN
random_RDD=1.0_TF=1.0_#60.dat, 1.0, 1.0, 60, 0, 75453, 0, 75453, 0, 75454, 0, 75454, 0, 98437, NaN, NaN
random_RDD=1.0_TF=1.0_#65.dat, 1.0, 1.0, 65, 0, 60198, 0, 60198, 0, 60201, 0, 60201, 0, 86133, NaN, NaN
random_RDD=1.0_TF=1.0_#70.dat, 1.0, 1.0, 70, 16, 83272, 16, 83272, 16, 83275, 16, 83277, 0, 122066, NaN, NaN
random_RDD=1.0_TF=1.0_#75.dat, 1.0, 1.0, 75, 0, 108929, 0, 108929, 0, 108932, 0, 108936, 0, 147728, NaN, NaN
random_RDD=1.0_TF=1.0_#80.dat, 1.0, 1.0, 80, 15, 106634, 15, 106635, 15, 106635, 15, 106635, 0, 147801, NaN, NaN
