Filename, RDD, TF, Size, Dynamic-runtime, Dynamic-tardiness, Approx-e=0.1-runtime, Approx-e=0.1-tardiness, Approx-e=0.2-runtime, Approx-e=0.2-tardiness, Approx-e=0.3-runtime, Approx-e=0.3-tardiness, Greedy-runtime, Greedy-tardiness, BestFirst-runtime, BestFirst-tardiness
random_RDD=0.2_TF=0.2_#5.dat, 0.2, 0.2, 5, 11, 44, 17, 44, 10, 44, 8, 44, 2, 44, 5, 44
random_RDD=0.2_TF=0.2_#10.dat, 0.2, 0.2, 10, 0, 74, 1, 74, 1, 74, 1, 74, 0, 74, 6730, 74
random_RDD=0.2_TF=0.2_#15.dat, 0.2, 0.2, 15, 5, 60, 4, 60, 5, 60, 3, 60, 0, 60, NaN, NaN
random_RDD=0.2_TF=0.2_#20.dat, 0.2, 0.2, 20, 8, 236, 11, 236, 10, 236, 12, 236, 0, 528, NaN, NaN
random_RDD=0.2_TF=0.2_#25.dat, 0.2, 0.2, 25, 7, 322, 10, 322, 9, 322, 12, 322, 0, 322, NaN, NaN
random_RDD=0.2_TF=0.2_#30.dat, 0.2, 0.2, 30, 27, 339, 32, 339, 49, 339, 47, 339, 0, 504, NaN, NaN
random_RDD=0.2_TF=0.2_#35.dat, 0.2, 0.2, 35, 46, 434, 105, 434, 124, 434, 111, 434, 0, 636, NaN, NaN
random_RDD=0.2_TF=0.2_#40.dat, 0.2, 0.2, 40, 32, 433, 50, 433, 50, 433, 47, 433, 0, 542, NaN, NaN
random_RDD=0.2_TF=0.2_#45.dat, 0.2, 0.2, 45, 73, 653, 83, 653, 93, 653, 84, 653, 0, 877, NaN, NaN
random_RDD=0.2_TF=0.2_#50.dat, 0.2, 0.2, 50, 119, 599, 126, 599, 129, 599, 128, 599, 0, 846, NaN, NaN
random_RDD=0.2_TF=0.2_#55.dat, 0.2, 0.2, 55, 653, 625, 1212, 625, 1194, 625, 1135, 625, 0, 1040, NaN, NaN
random_RDD=0.2_TF=0.2_#60.dat, 0.2, 0.2, 60, 557, 865, 827, 865, 834, 865, 847, 865, 1, 1079, NaN, NaN
random_RDD=0.2_TF=0.2_#65.dat, 0.2, 0.2, 65, 3793, 1068, 4738, 1068, 4754, 1068, 5300, 1068, 0, 1424, NaN, NaN
random_RDD=0.2_TF=0.2_#70.dat, 0.2, 0.2, 70, 2224, 1086, 5004, 1086, 5003, 1086, 4696, 1086, 0, 1329, NaN, NaN
random_RDD=0.2_TF=0.2_#75.dat, 0.2, 0.2, 75, 2097, 1252, 2727, 1252, 2748, 1252, 2827, 1252, 1, 2073, NaN, NaN
random_RDD=0.2_TF=0.2_#80.dat, 0.2, 0.2, 80, 7367, 1770, 9301, 1770, 9458, 1770, 9293, 1770, 2, 2995, NaN, NaN
random_RDD=0.2_TF=0.4_#5.dat, 0.2, 0.4, 5, 0, 198, 0, 198, 0, 198, 0, 198, 0, 203, 0, 198
random_RDD=0.2_TF=0.4_#10.dat, 0.2, 0.4, 10, 0, 216, 0, 216, 0, 216, 1, 216, 0, 484, 4655, 216
random_RDD=0.2_TF=0.4_#15.dat, 0.2, 0.4, 15, 1, 654, 1, 654, 1, 654, 1, 654, 0, 841, NaN, NaN
random_RDD=0.2_TF=0.4_#20.dat, 0.2, 0.4, 20, 1, 1066, 2, 1067, 2, 1067, 2, 1067, 0, 2294, NaN, NaN
random_RDD=0.2_TF=0.4_#25.dat, 0.2, 0.4, 25, 1, 1148, 1, 1148, 1, 1148, 1, 1148, 1, 1808, NaN, NaN
random_RDD=0.2_TF=0.4_#30.dat, 0.2, 0.4, 30, 11, 1183, 14, 1183, 15, 1183, 12, 1183, 1, 2536, NaN, NaN
random_RDD=0.2_TF=0.4_#35.dat, 0.2, 0.4, 35, 7, 2698, 7, 2698, 9, 2698, 9, 2701, 0, 4093, NaN, NaN
random_RDD=0.2_TF=0.4_#40.dat, 0.2, 0.4, 40, 28, 3475, 43, 3475, 52, 3475, 43, 3475, 0, 5818, NaN, NaN
random_RDD=0.2_TF=0.4_#45.dat, 0.2, 0.4, 45, 133, 3860, 142, 3860, 135, 3860, 137, 3863, 0, 5629, NaN, NaN
random_RDD=0.2_TF=0.4_#50.dat, 0.2, 0.4, 50, 176, 4986, 287, 4986, 296, 4986, 274, 4986, 0, 7145, NaN, NaN
random_RDD=0.2_TF=0.4_#55.dat, 0.2, 0.4, 55, 159, 6295, 208, 6295, 242, 6295, 195, 6298, 1, 10467, NaN, NaN
random_RDD=0.2_TF=0.4_#60.dat, 0.2, 0.4, 60, 861, 7098, 1354, 7098, 1303, 7098, 1271, 7098, 0, 10792, NaN, NaN
random_RDD=0.2_TF=0.4_#65.dat, 0.2, 0.4, 65, 1403, 8743, 1952, 8743, 1892, 8743, 1952, 8743, 1, 13323, NaN, NaN
random_RDD=0.2_TF=0.4_#70.dat, 0.2, 0.4, 70, 6576, 9468, 12651, 9468, 12847, 9468, 12898, 9468, 0, 18690, NaN, NaN
random_RDD=0.2_TF=0.4_#75.dat, 0.2, 0.4, 75, 4516, 10596, 6831, 10596, 6259, 10596, 6440, 10596, 0, 15153, NaN, NaN
random_RDD=0.2_TF=0.4_#80.dat, 0.2, 0.4, 80, 7684, 13727, 16727, 13727, 14765, 13727, 14765, 13730, 1, 23320, NaN, NaN
random_RDD=0.2_TF=0.6_#5.dat, 0.2, 0.6, 5, 0, 140, 0, 140, 0, 140, 0, 140, 0, 247, 0, 140
random_RDD=0.2_TF=0.6_#10.dat, 0.2, 0.6, 10, 1, 889, 0, 889, 0, 889, 0, 889, 0, 1038, 6056, 889
random_RDD=0.2_TF=0.6_#15.dat, 0.2, 0.6, 15, 0, 1200, 0, 1201, 0, 1201, 0, 1201, 0, 1918, NaN, NaN
random_RDD=0.2_TF=0.6_#20.dat, 0.2, 0.6, 20, 1, 1570, 1, 1570, 1, 1570, 0, 1575, 0, 3317, NaN, NaN
random_RDD=0.2_TF=0.6_#25.dat, 0.2, 0.6, 25, 1, 2903, 1, 2903, 1, 2903, 1, 2903, 0, 4725, NaN, NaN
random_RDD=0.2_TF=0.6_#30.dat, 0.2, 0.6, 30, 3, 5043, 4, 5043, 5, 5043, 4, 5043, 0, 8621, NaN, NaN
random_RDD=0.2_TF=0.6_#35.dat, 0.2, 0.6, 35, 10, 6999, 22, 6999, 14, 7004, 22, 7004, 0, 12340, NaN, NaN
